Model,Precision,Recall,mAP@50,mAP@50-95,F1 Score,Fitness,Preprocess (ms),Inference (ms),Postprocess (ms),Total Time (ms)
YOLO26m Aug,0.6608950906677689,0.6338428386266741,0.7580975606596101,0.48716497339058445,0.5149303002977452,0.48716497339058445,0.3089510390361767,7.319914216615129,0.07356576698983819,7.702431022641144
RT-DETR Aug,0.8037457152658377,0.6468930827124283,0.6587073975149053,0.39279224458310225,0.640700445332418,0.39279224458310225,0.47421072417532867,20.012895872807498,0.1419030415619143,20.62900963854474
