Model,Class,Precision,Recall,mAP@50,F1 Score
YOLO26m Aug,pig,0.522486711563981,0.9075681437490483,0.8307620014358619,0.6631805670753366
YOLO26m Aug,penguin,0.5790633055505634,0.8946179129005751,0.8649027840974537,0.7030562639502476
YOLO26m Aug,horse,0.8811352548887621,0.0993424592303989,0.5786278964455147,0.17855406986765157
RT-DETR Aug,pig,0.6420907233501915,0.9325414953555657,0.8896644687333077,0.7605283776030934
RT-DETR Aug,penguin,0.8414155984153062,0.7982744453574363,0.8430906063282244,0.8192774880728219
RT-DETR Aug,horse,0.9277308240320153,0.20986330742428302,0.24336711748318363,0.3422954703213388
